450972566209,1000129
450972566210,1000130
450972566211,1000131
450972566212,1000132
450972566213,1000133
450972566214,1000134
450972566215,1000135
450972566216,1000136
450972566218,1000138
450972567735,1001655
450972568892,1002812
450972570301,1004221
450972571585,1005505
450972571587,1005507
450972576162,1010082
450972579231,1013151
450972579435,1013355
450972583348,1017268
450972633717,1067637
450972634644,1068564
450972635675,1069595
450972636248,1070168
450972637196,1071116
450972638611,1072531
450972639383,1073303
450972639422,1073342
450972639448,1073368
450972650701,1084621
450972651039,1084959
450972653885,1087805
450972654301,1088221
450972654302,1088222
450972656533,1090453
450972661864,1095784
450972666460,1100380
450972667266,1101186
450972667269,1101189
450972670441,1104361
450972670699,1104619
450972671284,1105204
450972673325,1107245
450972674923,1108843
450972676375,1110295
450972676380,1110300
450972676430,1110350
450972677116,1111036
450972677641,1111561
450972681931,1115851
450972681932,1115852
450972681933,1115853
450972681934,1115854
450972685585,1119505
450972687561,1121481
450972688088,1122008
450972692791,1126711
450972693950,1127870
450972694675,1128595
450972695019,1128939
450972695393,1129313
450972696950,1130870
450972696951,1130871
450972697715,1131635
450972697727,1131647
450972698479,1132399
450972699848,1133768
450972705079,1138999
450972705565,1139485
450972705594,1139514
450972705595,1139515
450972706161,1140081
450972706345,1140265
450972706868,1140788
450972706869,1140789
450972706870,1140790
450972707920,1141840
450972708162,1142082
450972708163,1142083
450972708164,1142084
450972708165,1142085
450972708190,1142110
450972708191,1142111
450972708439,1142359
450972708440,1142360
450972708532,1142452
450972708533,1142453
450972708561,1142481
450972709150,1143070
450972709748,1143668
450972709761,1143681
450972709769,1143689
450972710001,1143921
450972711402,1145322
450972711403,1145323
450972712261,1146181
450972714397,1148317
450972715578,1149498
450972715579,1149499
450972715580,1149500
450972715581,1149501
450972715585,1149505
450972716212,1150132
450972716294,1150214
450972716296,1150216
450972717203,1151123
450972717204,1151124
450972717578,1151498
450972718022,1151942
450972718202,1152122
450972718912,1152832
450972719075,1152995
450972719076,1152996
450972719082,1153002
450972719602,1153522
450972721906,1155826
450972722904,1156824
450972722912,1156832
450972722914,1156834
450972722916,1156836
450972722942,1156862
450972722944,1156864
450972722946,1156866
450972722953,1156873
450972722990,1156910
450972722992,1156912
450972722999,1156919
450972723013,1156933
450972723018,1156938
450972723036,1156956
450972723053,1156973
450972723074,1156994
450972723078,1156998
450972723081,1157001
450972723082,1157002
450972723083,1157003
450972723084,1157004
450972723085,1157005
450972723086,1157006
450972723087,1157007
450972723089,1157009
450972723090,1157010
450972723091,1157011
450972723092,1157012
450972723093,1157013
450972723094,1157014
450972723096,1157016
450972723098,1157018
450972723103,1157023
450972723110,1157030
450972723112,1157032
450972723114,1157034
450972723116,1157036
450972723124,1157044
450972723125,1157045
450972723129,1157049
450972723131,1157051
450972723135,1157055
450972723139,1157059
450972723140,1157060
450972723143,1157063
450972723146,1157066
450972723148,1157068
450972723150,1157070
450972723446,1157366
450972724410,1158330
450972724781,1158701
450972724972,1158892
450972727092,1161012
450972728408,1162328
450972728468,1162388
450972728469,1162389
450972728470,1162390
450972728472,1162392
450972728473,1162393
450972728474,1162394
450972728690,1162610
450972728728,1162648
450972728886,1162806
450972730140,1164060
450972730146,1164066
450972730165,1164085
450972730166,1164086
450972730169,1164089
450972730170,1164090
450972730248,1164168
450972730264,1164184
450972730267,1164187
450972730268,1164188
450972730395,1164315
450972730402,1164322
450972730554,1164474
450972730555,1164475
450972730556,1164476
450972730557,1164477
450972730772,1164692
450972732428,1166348
450972732600,1166520
450972733636,1167556
450972733637,1167557
450972733638,1167558
450972733639,1167559
450972733640,1167560
450972733641,1167561
450972733642,1167562
450972733643,1167563
450972733644,1167564
450972733645,1167565
450972734370,1168290
450972737114,1171034
450972738544,1172464
450972747926,1181846
450972749408,1183328
450972750326,1184246
450972750327,1184247
450972750330,1184250
450972753018,1186938
450972754776,1188696
450972754874,1188794
450972754891,1188811
450972755518,1189438
450972755519,1189439
450972755520,1189440
450972755521,1189441
450972755556,1189476
450972757199,1191119
450972758573,1192493
450972759588,1193508
450972764443,1198363
450972767347,1201267
450972771377,1205297
450972771380,1205300
450972772044,1205964
450972772045,1205965
450972772329,1206249
450972772475,1206395
450972772865,1206785
450972772866,1206786
450972773951,1207871
450972773953,1207873
450972773956,1207876
450972773957,1207877
450972773963,1207883
450972773964,1207884
450972773994,1207914
450972773995,1207915
450972773996,1207916
450972773997,1207917
450972773998,1207918
450972774730,1208650
450972774731,1208651
450972775142,1209062
450972775166,1209086
450972775924,1209844
450972775925,1209845
450972776229,1210149
450972776272,1210192
450972776273,1210193
450972776274,1210194
450972776275,1210195
450972776276,1210196
450972776277,1210197
450972776278,1210198
450972776279,1210199
450972776280,1210200
450972776281,1210201
450972776282,1210202
450972776283,1210203
450972776284,1210204
450972776285,1210205
450972776286,1210206
450972776287,1210207
450972776288,1210208
450972776677,1210597
450972776714,1210634
450972776803,1210723
450972777244,1211164
450972777245,1211165
450972777668,1211588
450972777669,1211589
450972777670,1211590
450972777671,1211591
450972777672,1211592
450972777673,1211593
450972777674,1211594
450972777684,1211604
450972777685,1211605
450972777691,1211611
450972777692,1211612
450972777693,1211613
450972777694,1211614
450972778337,1212257
450972779062,1212982
450972780064,1213984
450972781004,1214924
450972781985,1215905
450972781986,1215906
450972782281,1216201
450972783161,1217081
450972783283,1217203
450972783515,1217435
450972783663,1217583
450972783809,1217729
450972783816,1217736
450972787292,1221212
450972787774,1221694
450972788584,1222504
450972791528,1225448
450972792351,1226271
450972793173,1227093
450972798866,1232786
450972798867,1232787
450972799596,1233516
