"|aPeter W. Good Archival Collection,|f1880-1926|g(bulk 1890-1893) |aGood, Peter W"
"|aSouthwestern Ohio Society of General Physicians Collection,|f1950-1976|g(bulk 1960-1965) |aSouthwestern Ohio Society of General Physicians"
"|aWilhelmina Branson Collection,|f1958-1995|g(bulk 1965-1975) |aBranson, Byron M"
|aCorporate income tax coordination as a response to international tax competition and international tax arbitrage|h[electronic resource]
"|aChristian R. Holmes Hospital Collection,|f1924-1984|g(bulk 1979-1982) |aHolmes Hospital (Cincinnati, Ohio)"
"|aRobert G. Rothfuss Collection,|f1986-2001|g(bulk 1986-1989) |aRobert G. Rothfuss"
