|aHawaii Beach Monitoring Program|h[electronic resource] :|bbeach profile data /|cby Ann E. Gibbs ... [et al.] |aVersion 1.0
"|aSchool survey on crime and safety (SSOCS) 2003-04 public-use data files, user's manual, and codebook|h[electronic resource]"
|aGuidance documents for natural resource damage assessment under the Oil Pollution Act of 1990|h[electronic resource]
"|a1996 ASEE annual conference proceedings|h[electronic resource] |aAmerican Society for Engineering Education.|bConference|d(1996 :|cWashington, D.C.)"
|aI-Beam IAQ building education and assessment model|h[electronic resource]
|aSomething about the author online|h[electronic resource]
"|aA geologic map of the sea floor in western Massachusetts Bay constructed from digital sidescan-sonar images, photography, and sediment samples|h[electronic resource] /|cU.S. Department of the Interior, U.S. Geological Survey ; by M.H. Bothner ... [et al.] ; display software by Russell A. Ambroziak ; prepared in cooperation with the Massachusetts Water Resources Authority |aGeological Survey (U.S.)"
|aForest stewardship planning guide|h[electronic resource] |aVer. 1.00
"|aNational coal resource assessment non-proprietary data|h[electronic resource] :|blocation, stratigraphy, and coal quality for selected tertiary coal in the northern Rocky Mountains and Great Plains region /|cby R.M. Flores ... [et al.]"
|aProbabilistic modules for the RESRAD and RESRAD-BUILD computer codes|h[electronic resource] :|buser guide /|cArgonne National Laboratory
"|aPipeline engineering and construction : what's on the horizon?|h[electronic resource] :|bproceedings of the Pipelines 2004 International Conference : August 1-4, 2004, San Diego, California /|cedited by John J. Galleher, Jr. and Michael T. Stift ; [sponsored by] American Society of Civil Engineers |aPipelines 2004|d(2004 :|cSan Diego, Calif.)"
"|aSea-floor images and data from multibeam surveys in San Francisco Bay, Southern California, Hawaii, the Gulf of Mexico, and Lake Tahoe, California--Nevada|h[electronic resource] /|cby Peter Dartnell and James V. Gardner |aDartnell, Peter |aVersion 1.0"
|a1991 survey of recent college graduates|h[electronic resource] :|bpublic release file
"|aWhat's new about your money?|h[electronic resource] :|bit's safer, smarter, more secure"
"|aStewplan|h[electronic resource] :|bsoftware for creating forest stewardship plans /|cPeter D. Knopp and Mark J. Twery |aKnopp, Peter D |aVersion 1.3"
|aThe effect of selected cleaning techniques on Berkshire Lee marble|h[electronic resource] :|ba scientific study at Philadelphia City Hall /|cby V.G. Mossotti ... [et al.]
"|aIce strength as a function of hydrostatic pressure and temperature|h[electronic resource] /|cAnatoly M. Fish and Yuri K. Zaretsky |aFish, Anatoly M"
"|aSeismic liquefaction features|h[electronic resource] :|bexamples from paleoseismic investigations in the continental United States /|cStephen F. Obermeier |aObermeier, Stephen F"
"|aOcean explorer|h[electronic resource] :|blearning ocean science through ocean exploration, companion CD-ROM /|cNOAA"
