"deduptitle"
"|aSymposium on YLID chemistry |aUniversity of Cincinnati.|bResearch Foundation"
"|aDas Buch der Natur :|bdie Lehren der Physik, Astronomie, Chemie, Minerologie, Geologie, Botanik, Physiologie und Zoologie umfassend /|cvon Friedrich Schoedler |aSchoedler, Friedrich,|d1813-1884 |a18., verm. und verb. Aufl"
"|aKurzgeschichte der chemie :|bmit 200 abbildungen /|cvon Fritz Ferchl und A Süssenguth ; herausgegeben durch die Gesellschaft für geschichte der pharmazie |aFerchl, Fritz"
"|aDie Schule der Chemie :|berste Einführung in die Chemie für Jedermann /|cvon W. Ostwald |aOstwald, Wilhelm,|d1853-1932 |a4. verbesserte Aufl"
"|aAlchemy in Europe :|ba guide to research /|cClaudia Kren |aKren, Claudia,|d1929-"
"|aThe thermodynamics of the steady state |aDenbigh, Kenneth George"
"|aThermodynamics of irreversible processes |aGroot, S. R. de|q(Sybren Ruurds),|d1916-"
"|aSchmelzpunkt-Tabellen organischer Verbindungen |aUtermark, Walther,|d1898-"
"|aChemie der eiweisskörper |aCohnheim, Otto,|d1873-"
"|aThe works of Lord Bacon.|bWith an introductory essay, and a portrait |aBacon, Francis,|d1561-1626"
"|aFoundations of the unity of science,|btoward an international encyclopedia of unified science.|cEdited by Otto Neurath, Rudolf Carnap [and] Charles Morris"
"|aDie Chemie in ihrer Anwendung auf Agricultur und Physiologie .. |aLiebig, Justus,|cFreiherr von,|d1803-1873 |a6. Aufl"
"|aElements of chemistry for the use of schools,|cby John Johnston |aJohnston, John,|d1806-1879"
"|aSynthetic rubber from alcohol,|ba survey based on the Russian literature|c[by] Anselm Talalay ... [and] Michel Magat .. |aTalalay, Anselm"
"|aKapillarchemie;|beine Darstellung der Chemie der Kolloide und verwandter Gebiete,|cvon Herbert Freundlich |aFreundlich, Herbert,|d1880-1941 |a2. völlig umgearb. Aufl"
"|aEssai sur la philosophie des sciences; ou, Exposition analytique d'une classification naturelle de toutes les connaissances humaines |aAmpère, André-Marie,|d1775-1836"
"|aEquilibria in saturated salt solutions :|ba summary of the results of the study of the heterogeneous equilibria which exist in aqueous solutions of electrolytes /|cby Walter Charles Blasdale |aBlasdale, Walter Charles,|d1871-"
"|aTheories of solutions /|cby Svante Arrhenius |aArrhenius, Svante,|d1859-1927"
"|aNMR in structural biology :|ba collection of papers by Kurt Wüthrich /|ceditor, Kurt Wüthrich"
"|aThe kinetics of chemical change,|cby C.N. Hinshelwood .. |aHinshelwood, Cyril,|cSir,|d1897-1967"
"|aA text-book of pharmacology and therapeutics;|bor, The action of drugs in health and disease |aCushny, Arthur R.|q(Arthur Robertson),|d1866-1926 |a9th ed. thoroughly rev. by C. W. Edmunds and J. A. Gunn"
"|aThe chemistry of the steroids |aKlyne, William"
"|aNouveau traité de chimie minérale,|cpar G. Bouissieres [et. al.] |aPascal, Paul,|d1880-1968"
"|aElementary physical chemistry,|cby Hugh S. Taylor ... and H. Austin Taylor .. |aTaylor, Hugh S.|q(Hugh Stott),|d1890-1974 |a2d ed"
"|aJoan Baptista van Helmont :|breformer of science and medicine /|cWalter Pagel |aPagel, Walter,|d1898-"
"|aA bibliography of the works of Antoine Laurent Lavoisier, 1743-1794,|cby Denis I. Duveen and Herbert S. Klickstein. With a pref. by John F. Fulton |aDuveen, Denis I"
"|aBritish scientists of the nineteenth century,|cby J. G. Crowther |aCrowther, James Gerald"
"|aQuantum chemistry |aPitzer, Kenneth S.|q(Kenneth Sanborn),|d1914-"
"|aHandbuch der experimentellen pathologie und pharmakologie /|cvon R. Heinz |aHeinz, Robert,|d1865-1924"
"|aSampling and analysis of carbon and alloy steels;|bmethods of the chemists of the subsidiary companies of the United States Steel Corporation as revised to 1937 |aUnited States Steel Corporation"
"|aColour measurement and mixture.|cBy Captain W. de W. Abney Published under the direction of the Committee of General Literature and Education appointed by the Society for Promoting Christain Knowledge |aAbney, William de Wiveleslie,|cSir,|d1843-1920"
"|aThe fundamentals of college chemistry|c[by] G. Brooks King [and] William E. Caldwell |aKing, G. Brooks|q(George Brooks),|d1905-"
"|aAdvanced organic chemistry |aWheland, George Willard,|d1907- |a2d ed"
"|aLa chimie de la cellule vivante,|cpar Armand Gautier . |aGautier, Armand,|d1837- |a2d éd"
"|aBenjamin Silliman, 1779-1864,|bpathfinder in American science,|cby John F. Fulton and Elizabeth H. Thomson |aFulton, John F.|q(John Farquhar),|d1899-1960"
"|aCorrespondance;|bchoix de lettres, 1905-1934 [de] Marie [et] Irène Curie.|cPrésentation par Gillette Ziegler |aCurie, Marie,|d1867-1934"
"|aThe Annus mirabilis of Sir Isaac Newton, 1666-1966.|cEdited by Robert Palter"
"|aThe lure and romance of alchemy,|cby C. J. S. Thompson |aThompson, Charles John Samuel"
"|aTraité élémentaire de physique,|cpar M. L'Abbé Haüy |aHaüy, René Just,|d1743-1822 |a2. éd. rev. et considérablement augm"
"|a75 [i.e. Fünfundsiebzig]  Jahre Beilsteins Handbuch der organischen Chemie;|bAufsätze und Reden |aRichter, Friedrich,|d1896-1961"
"|aThe search for explanation:|bstudies in natural science.|cGeneral editors: Emanuel Hackel and Dennis W. Strawbridge |aMichigan State University.|bDept. of Natural Science"
"|aNatural philosophy through the 18th century and allied topics |aFerguson, Allan Hitchen,|d1880-1951"
"|aThe life of Joseph Priestly,|bLL.D., F.R.S., &c., with critical observations on his works |aCorry, John,|dfl. 1825"
"|aQuantum theory of matter |aSlater, John C.|q(John Clarke),|d1900-1976 |a1st ed"
"|aAn introductory course of quantitative chemical analysis :|bwith explanatory notes and stoichiometrical problems /|cby Henry P. Talbot |aTalbot, Henry Paul,|d1864-1927 |a5th ed., rewritten and rev"
"|aPhilosophie der Chemie /|cvon C.J.B. Karsten |aKarsten, C. J. B.|q(Carl Johann Bernhard),|d1782-1853"
"|aChemotherapy.|cContributors: William H. Feldman [and others] |aPowers, Wendell H.|q(Wendell Holmes),|d1915-"
"|aCollege chemistry;|ban introductory textbook of general chemistry.|cIllus. by Roger Hayward |aPauling, Linus,|d1901-1994 |a3d ed"
"|aQualitative analyse mit hilfe von tüpfelreaktionen;|btheoretische grundlage, praktische ausführung und anwendung,|cvon dr. Fritz Feigl |aFeigl, Fritz,|d1891-1971 |a2. verb. und verm. aufl.,|bmit 24 figuren und 35 tabellen im text"
"|aInvestigations on the theory of the photographic process,|cby S.E. Sheppard ... and C.E. Kenneth Mees .. |aSheppard, S. E.|q(Samuel Edward)"
"|aThe electronic theory of valency,|cby Nevil Vincent Sidgwick .. |aSidgwick, Nevil Vincent,|d1873-1952"
"|aThe plant alkaloids /|cby Thomas Anderson Henry |aHenry, Thomas Anderson,|d1873- |a4th ed"
"|aJohn Uri Lloyd, his life and his works, 1849-1936 :|bwith a history of the Lloyd Library /|cby Corinne Miller Simons |aSimons, Corinne Miller"
"|aChemie und Geisteswissenschaften :|bVersuch einer Annäherung /|cherausgegeben von Jürgen Mittelstrass und Günter Stock ; mit Beiträgen von M. Carrier ... [et al.]"
"|aIsaac Newton,|ba biography,|cby Louis Trenchard More |aMore, Louis Trenchard,|d1870-1944"
"|aThe chemistry of acetylene and related compounds /|c[by] Ernst David Bergmann |aBergmann, Ernst David |aAcetylene chemistry"
"|aThe development of the idea of chemical composition.|bInaugural lecture delivered on third November 1869 |aBrown, Alexander Crum,|d1838-1922"
"|aLessons in qualitative chemical analysis /|cby F. Beilstein ; translated from the 5th ed., with copious additions, including lessons in organic and in volumetric analysis by Charles O. Curtman |aCurtman, Charles O"
"|aBiographical index to American science :|bthe seventeenth century to 1920 /|ccompiled by Clark A. Elliott |aElliott, Clark A"
"|aHandbuch der analytischen chemie /|cvon Alexander Classen |aClassen, Alexander,|d1843-1934 |a8. und 9., umgearbeitete und vermehrte Aufl"
"|aGeschichte der Physik |aHoppe, Edmund,|d1854-"
"|aRecherches sur les limites de combustibilité et la combustion dans les mélanges gazeux /|cpar Paul Jomini |aJomini, Paul"
