|a[Memorial Service for Edward A. Gall]|h[sound recording.]
|aMemorial service for Dr. Harvey Knowles|h[sound recording.]
|aInterview with Victor H. Haas|h[sound recording.]
|aMemorial service for Dr. Piker|h[sound recording.]
|a[Memorial service for Dr. Altemeier]|h[sound recording.]
|a[Memorial service for Dr. Eckstein]|h[sound recording.]
|aMemorial service for Dr. Hauenstein|h[sound recording.]
|aDr. Gustav Eckstein's lecture at the JACL [Japanese American Citizens' League] Cincinnati/Dayton installation dinner|h[sound recording.]
