"|aSonate (E dur) für Violine und Pianoforte, Opus 27 /|cvon Christian Sinding |aSinding, Christian,|d1856-1941 |aSonatas,|mviolin, piano,|nop. 27,|rE major"
"|aJudgement:|bfor solo contralto, chorus, chamber orchestra, and electronic tape|cby Budd A. Udell |aUdell, Budd A"
"|aFive pieces on paintings of Max Ernst /|cby David Cleary |aCleary, David |aPieces on paintings of Max Ernst"
"|aChiaroscuro, 1987-88 /|cby May-Chee Chen |aChen, May-Chee"
"|aA Munch symphony /|cby Kam Morrill |aMorrill, Kam"
"|aMT 73 processional for wind ensemble /|cby Hal London |aLondon, Harry Lawrence"
"|aIlluminations :|bfor wind ensemble /|cby David James Denniston |aDenniston, David James |aIlluminations"
"|aFour dances for orchestra /|cby Frederic M. Trobaugh |aTrobaugh, Frederic M |aDances,|morchestra"
"|aDivertimento /|cby Igor Plitsyn |aPlitsyn, Igor |aDivertimento,|morchestra"
"|aRitual,|bfor chorus and orchestra,|cby Father Bottenberg |aBottenberg, Wolfgang H. O.,|cFather, S.A.C"
"|aI seem to be a verb :|ba work in support of the integrity of an eternally regenerative universe /|cby Martin Sweidel |aSweidel, Martin |aI seem to be a verb"
"|aParaphrases :|bop. 39 (1995-1999), for violin and keyboard instruments /|cby Steven Wasson |aWasson, Steven"
"|aThe vagrant's dance :|bfor full orchestra /|cby Garry Joe Hardin II |aHardin, Garry Joe, II"
"|aShuo Shu Ren The Story Teller"" for six instruments /|cby Gao Ping Ping, Gao"""
"|aVoussoirs for large orchestra,|cby Ellsworth Lynn Milburn |aMilburn, Ellsworth Lynn"
"|aFourth stream :|bfor orchestra /|cby Henry Gwiazda |aGwiazda, Henry"
"|aXanthe /|cby Edmund L. Trafford |aTrafford, Edmund"
"|aMirrors :|bfor orchestra /|cby Carlos Alberto Velez |aVelez, Carlos Alberto"
"|aNyayito-9 :|bfor percussion and orchestra /|cEmmanuel Gyimah Labi |aLabi, Emmanuel Gyimah |aNyayito-9"
"|aStations"" on a poem by Audre Lorde: for women's choir, oboe, viola, and cello /|cby Bonnie Miksch |aMiksch, Bonnie"""
"|aChimera /|cJay G. Jacobs |aJacobs, Jay G"
"|aShadows of cloud /|cby Yuk Fung Yau |aYau, Yuk Fung"
"|aSeventy-eighth self-portrait :|bfor soprano, alto flute, bassoon, harp, violoncello, and tape /|cby Jong-Chan Lee |aLee, Jong-Chan"
"|aMilligan's Wake :|ba piece for wind ensemble in three continuous movements /|cby Michael D'Ambrosio |aD'Ambrosio, Michael"
"|aFive memos (after Calvino) :|bfor string quartet ; Five memos (after Calvino) : for orchestra /|cby Gavin Borchert |aBorchert, Gavin |aMemos after Calvino"
"|aThe old home ain't what it used to be :|bcompanion song to the Old folks at home"" /|cas sung by the original Georgia Minstrels ; by C. A. White |aWhite, C. A.|q(Charles Albert),|d1832-1892"""
"|aFlying nightmare :|bconcerto for string quartet and orchestra /|cJack Waldenmaier |aWaldenmaier, Jack"
"|aMidaregami /|cby Rubén Dario Salazar |aSalazar, Rubén Dario"
"|aAmerican success /|cJohn K. Boyle, Jr |aBoyle, John K |aAmerican success"
