"|aThe soldier :|ban opera in three scenes /|cbased on a story by Roald Dahl ; music by Lehman Engel ; libretto by Lewis Allan |aEngel, Lehman,|d1910-1982 |aSoldier.|sVocal score"
"|aOverture to The school for scandal"" |aBarber, Samuel,|d1910-1981 |aSchool for scandal"""
"|aAlbum /|cde Loïsa Puget ; paroles de Gustave Lemoine ; [dessins de] Grenier, Deveria, Gsell, Jules David, Mouilleron, E. Leroux |aPuget, Loïsa,|d1810-1889 |aRomances.|kSelections"
"|aOh! Susanna :|bintroduction and brilliant variations /|ccomposed and arranged for the piano forte by James G. Maeder |aMaeder, James G"
"|aProteus /|cPaul Martin Palombo |aPalombo, Paul Martin |aProteus.|kSelections"
|aDie Kunst des Violinspiels :|beine Sammlung der besten Werke für dieses Instrument von Corelli (1653) bis auf unsere Zeit /|cherausgegeben von C. Witting
"|aHardtimes come again no more /|cwritten and composed by Stephen Collins Foster |aFoster, Stephen Collins,|d1826-1864 |aHard times come again no more |a25th ed"
"|aThree etudes for solo piano /|cJorge Villavicencio Grossmann |aGrossmann, Jorge Villavicencio,|d1973- |aEtudes,|mpiano"
"|aKiss me dear mother :|bballad /|cwritten & composed at the request of a friend by the late Stephen C. Foster and now published from the original manuscript copy |aFoster, Stephen Collins,|d1826-1864 |aKiss me dear mother ere I die |a[Earliest known 1st ed.]"
"|aOctett für 4 Violinen, 2 Bratschen und 2 Violoncelle, Op. 3 /|ccomponirt von Johan S. Svendsen ; Arrangement für 2 Pianoforte zu 8 Händen |aSvendsen, Johan S.|q(Johan Severin),|d1840-1911 |aOctets,|mviolins (4), violas (2), violoncellos (2),|nop. 3,|rA major;|oarr"
"|aEleven studies for eleven players :|b1959-1960 /|cNed Rorem |aRorem, Ned,|d1923- |aStudies,|mpiano, flute, English horn, clarinet, trumpet, percussion, harp, violin, viola, cello"
"|aWaking :|bsong cycle for soprano and piano /|cby Dr. Mark Andrew Cook ; based on poetry of Ron Rash |aCook, Mark Andrew"
"|a4e sextuor pour piano, violon, deux alto, violoncelle et contrebasse, op. 144 /|cpar Hy. Bertini jne |aBertini, Henri,|d1798-1876 |aSextets,|mpiano, strings,|nop. 114,|rE major"
