"|aPrairie crosses, prairie voices|h[videorecording] :|biron crosses of the Great Plains /|ca co-production of Prairie Public Television and North Dakota State University Libraries"
"|aFairview German Language School ...|h[videorecording] /|cBeth Koenig, editor |aFairview German Bilingual School"
"|aDeutsch-Amerikanische Freundschaft|h[videorecording] :|binterviews with German-Americans in the Dayton Area /|cby Elfe Vallaster-Dona |aVallaster-Dona, Elfe,|d1955-"
"|aThe Germans from Russia|h[videorecording] :|bchildren of the steppe, children of the prairie"
|aSchmeckfest|h[videorecording] :|bfood traditions of the Germans from Russia /|ca joint production of North Dakota State Universities Libraries and Prairie Public
"|a[Photograph of Thomas Mann :|bwith inscription and signature, Sept. 26, 1923] |aMann, Thomas,|d1875-1955"
"|aFred Shuttlesworth|h[videorecording] :|bthe old lion, in his own words /|cinterviewed by Habtu Ghebre-Ab |aShuttlesworth, Fred L.,|d1922-"
"|aGoethe und seine Umwelt|h[slide] /|cmit Unterstützung des Goethe-Nationalmuseums, herausgegeben und bearbeitet von Karl Leonhardt |aLeonhardt, Karl"
"|aEin Kabarettabend bei, mit und von Benjamin Franklin Wedekind|h[videorecording]"
"|aAddress of Wolfgang Ischinger, German ambassador to the U.S., 17 October 2003, at the Cincinnati Chamber of Commerce|h[videorecording] |aIschinger, Wolfgang"
|aMoon|h[videorecording] :|ba mutual reality art experience /|cby Benjamin Britton
