"|aProof Press /|c College of Design Architecture and Art University of Cincinnati. |aLevy, Paul"
|aTransactions of the Society of Automotive Engineers |aSociety of Automotive Engineers
"|aGermania :|ba fortnightly journal for the study of the German language and literature |aGermania (Manchester, N.H.)"
|aOffice and telephone directory |aUniversity of Cincinnati
|aReport /|cSociety for the History of the Germans in Maryland |aSociety for the History of the Germans in Maryland
|aCincinnati alumnus
"|aFreiheit.|n25. Jahrg., No. 52 (Dec. 26, 1903)|h[microform] |aFreiheit (New York, N.Y.).|n25. Jahrg., No. 52 (Dec. 26, 1903)"
|aWöchentliche Unterhaltungen
|aModelli d'arte decorativa
|aCommentarii Academiae scientiarum imperialis Petropolitanae |aAkademi?i?a nauk SSSR
|aCoranto
"|aCourier - United Nations Educational, Scientific and Cultural Organization |aUnesco"
"|aKatholischer Glaubensbote |aKatholischer Glaubensbote (Louisville, Ky.)"
|aLegal requirements for business records newsletter :|bguide to records retention and recordkeeping requirements
|aJournal des débats et des décrets |aJournal des débats et des décrets (1795)
|aProgramme |aUniversity of Cincinnati
"|aFan |aFan (New York, N.Y.)"
|aYearbook /|cMiniature Book Society |aMiniature Book Society
|aBox score book.|pAmerican League
"|aSolidarität =|bSolidarity |aSolidarität (New York, N.Y.)"
|aPorcupine's political censor
"|aEvangelical messenger |aEvangelical messenger (Cleveland, Ohio)"
|aDeutsch-amerikanische Geschichtsblätter. /|cDeutsch-amerikanische historischen Gesellschaft von Illinois
|aThe Rehearsal
"|aThe Western horticultural review :|bdevoted to horticulture, pomology, grape culture, wine manufacture, rural architecture, landscape gardening, entomology, meteorology, etc"
|aThe Correspondent
|aCincinnati bearcats men's soccer media guide
|aEducational science :|ba digest of current thought on education
|aA Volume of records relating to the early history of Boston :|bcontaining miscellaneous papers |aBoston (Mass.).|bRegistry Department
"|aThe Critical review, or, Annals of literature"
"|aWochenberichte des Deutschen Sprachvereins (Zweig New York), später von New York . |aAllgemeiner Deutscher Sprachverein.|bZweig New York"
"|aGraduate faculty advisers on research contract or fellowship programs in engineering, mathematics, and physics: education, experience, research fields of special interest, publications |aUniversity of Cincinnati.|bGraduate Co-operative Program"
|aCincinnati bearcats women's tennis
|aBulletin |aOhio Indian Relic Collectors Society
|aBritish speeches of the day
|aMarylandische teutsche Zeitung|h[microform]
"|aSynodal-Bericht des Nebraska-Distrikts der deutschen evang.-luth. Synode von Missouri, Ohio und anderen Staaten |aDeutsche Evangelisch-Lutherische Synode von Missouri, Ohio und Andern Staaten.|bNebraska-Distrikt |aConvention proceedings"
"|aJournal of the Council of the Territory of Kansas, at their ... session |aKansas.|bLegislature.|bCouncil"
|aDas Buch der Welt
"|aDie Fackel.|nJahrg. 1, [T. 1,], no.11-Jahrg.2, no. 22;  Jahrg. 5|h[microform] |aFackel (Baltimore, Md.)"
|aRecord book |aInternational League of Professional Baseball Clubs
|aIrish book lover
|aSaturday review of literature
|aThe Courier
"|aThe North Briton /|cBy John Wilkes, esq., C. Churchhill, and others"
|aDer Reggeboge.|bThe Rainbow
|aNational Endowment for the Humanities ... annual report |aNational Endowment for the Humanities
|aJahrbuch der Königlichen Sternwarte bei München für .
|aDenkschriften der Gesamtakademie /|cÖsterreichische Akademie der Wissenschaften |aÖsterreichische Akademie der Wissenschaften
|aDeutsche amerikanische Dichtung;|bunter mitwirkung der hervorragendsten deutschen Dichter und Schriftsteller Amerikas
|aAnnual catalogue.. |aUniversity of Cincinnati
|aDie Deutschen in Amerika :|bFest-Schrift zum Deutschen Tage in Chicago
|aDas Magazin für Literatur
|aInternational prints |aCincinnati Art Museum
|aOverland monthly and Out west magazine
|aMichigan heritage
|aTeangadóir
|aUniversity of Cincinnati law review |aUniversity of Cincinnati.|bCollege of Law
|aCanadiana Germanica
