"|aChamber concerto 1980 :|bfor flute, oboe, violoncello, harpsichord, guitar, and two harps /|cby Daniel Gutwein |aGutwein, Daniel |aChamber concerto 1980"
"|aCassandra :|bfor chamber orchestra /|cby Jennifer E. Stasack |aStasack, Jennifer E"
"|aCreon-Antigone :|bfor orchestra and male chorus /|cby Douglas William McConnell |aMcConnell, Douglas William"
"|aMidaregami /|cby Rubén Dario Salazar |aSalazar, Rubén Dario"
"|aPhases for orchestra,|cby Robert Ricci |aRicci, Robert Joseph"
"|aKilling the angel in the house /|cby Moiya Lynn Callahan |aCallahan, Moiya Lynn"
"|aAdivinanzas /|cby Alonzo Alexander III |aAlexander, Alonzo"
"|aGems :|bfor orchestra /|cby William Waite |aWaite, William"
"|aTer fato obire :|bfor wind ensemble /|cby Randolph D. Love |aLove, Randolph D"
"|aSymphonic fantasy on a theme by Willaert :|bfor full orchestra /|cby Chris Frye |aFrye, Chris |aSymphonic fantasy on a theme by Willaert"
"|aMT 73 processional for wind ensemble /|cby Hal London |aLondon, Harry Lawrence"
"|aPhantoms at Four O'clock :|bfor strings, brass & percussion /|cby Michael Webster |aWebster, Michael"
"|aSymphony no. 1 /|cJames Marshall |aMarshall, James"
"|aA unified theory /|cby Mark Volker |aVolker, Mark"
"|aThe Ransom of Red Chief /|cby L. Brad Liebl |aLiebl, L. Brad |aRansom of Red Chief"
"|aCommotion's edge :|bfor large orchestra /|cby Jack Dahlquist |aDahlquist, Jack |aCommotion's edge"
"|aWindless world :|ban opera in three acts /|cby Timothy Mainland |aMainland, Timothy Lynn"
"|aPipa dance (for pipa and orchestra) /|cby Ping Jin |aJin, Ping"
"|aMyrthen :|bWalzer für das Piano-forte, zur Vermählungs-Feyer Ihrer Majestät Der Königin Victoria von England mit Sr. königl: Hoheit dem Prinzen Albert von Sachsen-Coburg, 118tes Werk /|ccomponirt von Johann Strauss |aStrauss, Johann,|d1804-1849 |aMyrthen;|oarranged"
"|aMusica universalis :|bhyper-concerto /|cby James Hirt |aHirt, James |aMusica universalis"
"|aInto the circle of the sacred /|cby Bonnie Miksch |aMiksch, Bonnie"
"|aIlluminations :|bfor wind ensemble /|cby David James Denniston |aDenniston, David James |aIlluminations"
"|aSymphony no. 1 /|cby Jason Michael Hoogerhyde |aHoogerhyde, Jason Michael |aSymphony"
"|aNyayito-9 :|bfor percussion and orchestra /|cEmmanuel Gyimah Labi |aLabi, Emmanuel Gyimah |aNyayito-9"
"|aJudgement:|bfor solo contralto, chorus, chamber orchestra, and electronic tape|cby Budd A. Udell |aUdell, Budd A"
"|aWhen it begins /|cby Okshik Shim |aShim, Okshik"
"|aStations"" on a poem by Audre Lorde: for women's choir, oboe, viola, and cello /|cby Bonnie Miksch |aMiksch, Bonnie"""
"|aChimera /|cJay G. Jacobs |aJacobs, Jay G"
"|aPaean aureole :|bfor chamber ensemble /|cby Elaine Broad ; [text by Vidya] |aBroad, Elaine"
"|aSongs of sorrow :|bfor soprano and string quartet.  Prologue; First Song of Shattering; Ashes of Life; Second Song of Shattering; Kin to Sorrow; Third Song of Shattering; Epilogu/|cby Rodney N. Abriol |aAbriol, Rodney N"
"|aFour dances for orchestra /|cby Frederic M. Trobaugh |aTrobaugh, Frederic M |aDances,|morchestra"
"|aAmerican success /|cJohn K. Boyle, Jr |aBoyle, John K |aAmerican success"
"|aDivertimento /|cby Igor Plitsyn |aPlitsyn, Igor |aDivertimento,|morchestra"
"|aRitual,|bfor chorus and orchestra,|cby Father Bottenberg |aBottenberg, Wolfgang H. O.,|cFather, S.A.C"
"|aConcerto for oboe, strings and percussion /|cby Robert Mueller |aMueller, Robert"
"|aPenumbral tapestries :|bfor wind ensemble /|cStephen Jones |aJones, Stephen |aPenumbral tapestries"
"|aThe works for piano solo and piano with other instruments of Mary Carr Moore (1873-1957) /|cby Barbara Jean Rogers |aRogers, Barbara Jean"
"|aGarden in a labyrinth :|bfor piano and string orchestra /|cby Chee Kong Ho |aHo, Chee Kong"
"|aI seem to be a verb :|ba work in support of the integrity of an eternally regenerative universe /|cby Martin Sweidel |aSweidel, Martin |aI seem to be a verb"
"|aShadows of cloud /|cby Yuk Fung Yau |aYau, Yuk Fung"
"|aFuneral music for Jan Palach,|cby Walter Allan Mays |aMays, Walter Allan"
"|aThe eighth wing /|cby Charles Sepos |aSepos, Charles |aEighth wing"
"|aParaphrases :|bop. 39 (1995-1999), for violin and keyboard instruments /|cby Steven Wasson |aWasson, Steven"
"|aThe concerto in D major (1800) and six voluntaries, Op. 6 by Samuel Wesley (1766-1837) in a performing edition with critical commentary,|cby James Ritter Werner |aWerner, James Ritter"
