|a[Oesper Collection Portraits]|h[picture]
"|aGraphic baking powder chart,|cby J. Raymond Chittick |aChittick, J. Raymond"
"|aThe origins of organic chemistry, 1800-1900 /|cdevised by C.A. Russell |aRussell, Colin Archibald"
|aPeriodic table of the elements|h[chart]
|aThe visual elements periodic table|h[chart]
|aSachkunde 3/4 :|bexperimentierkasten chemie
|aMein erstes Kosmos-chemielabor
